OrderID,Date,Month,Year,Quarter,Product,Category,UnitPrice,Quantity,Discount_Pct,Discount_Amt,Revenue,Margin_Pct,Profit,Region,City,Channel,Segment,Returned,CustomerID
ORD-100046,2026-04-10,April,2026,Q2,Hair Oil 500ml,FMCG,249,1,10,24.9,224.1,28.5,63.87,North India,Jaipur,Partner,Retail,0,CUST-8478
ORD-100047,2026-01-18,January,2026,Q1,Sanitizer 500ml,FMCG,199,4,10,79.6,716.4,43.2,309.48,West India,Nagpur,Offline,New/Trial,0,CUST-7991
ORD-100048,2026-03-12,March,2026,Q1,Sanitizer 500ml,FMCG,199,2,20,79.6,318.4,38.6,122.9,West India,Nashik,Partner,Retail,0,CUST-9540
ORD-100049,2026-03-04,March,2026,Q1,Formal Trousers,Apparel,1899,3,0,0.0,5697.0,45.2,2575.04,North India,Delhi,Offline,SMB,0,CUST-3471
ORD-100050,2026-01-30,January,2026,Q1,Face Wash 200ml,FMCG,299,3,10,89.7,807.3,34.1,275.29,West India,Nashik,Online,Retail,0,CUST-7883
ORD-100051,2026-02-19,February,2026,Q1,Sofa 3-Seater,Furniture,24999,4,5,4999.8,94996.2,22.2,21089.16,East India,Kolkata,Partner,New/Trial,0,CUST-7389
ORD-100052,2026-02-23,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,4,0,0.0,13996.0,29.1,4072.84,West India,Nagpur,Offline,New/Trial,0,CUST-7371
ORD-100053,2026-02-13,February,2026,Q1,Face Wash 200ml,FMCG,299,5,0,0.0,1495.0,45.6,681.72,West India,Surat,Partner,New/Trial,0,CUST-1444
ORD-100054,2026-01-11,January,2026,Q1,Hair Oil 500ml,FMCG,249,3,0,0.0,747.0,33.8,252.49,North India,Agra,Online,Retail,0,CUST-7211
ORD-100055,2026-02-05,February,2026,Q1,Hair Oil 500ml,FMCG,249,1,0,0.0,249.0,27.8,69.22,North India,Delhi,Online,Retail,0,CUST-1659
ORD-100056,2026-04-07,April,2026,Q2,Galaxy Pro X1,Electronics,24999,2,0,0.0,49998.0,34.3,17149.31,East India,Bhubaneswar,Offline,Retail,0,CUST-4571
ORD-100057,2026-03-01,March,2026,Q1,Winter Jacket,Apparel,4599,1,20,919.8,3679.2,43.3,1593.09,West India,Pune,Offline,New/Trial,1,CUST-2771
ORD-100058,2026-03-16,March,2026,Q1,Galaxy Pro X1,Electronics,24999,4,15,14999.4,84996.6,27.2,23119.08,East India,Ranchi,Offline,New/Trial,0,CUST-4978
ORD-100059,2026-01-14,January,2026,Q1,Sports Backpack,Apparel,1599,5,20,1599.0,6396.0,23.1,1477.48,West India,Nagpur,Offline,New/Trial,0,CUST-7071
ORD-100060,2026-01-09,January,2026,Q1,Study Table,Furniture,5999,1,5,299.95,5699.05,47.0,2678.55,West India,Mumbai,Offline,New/Trial,0,CUST-8532
ORD-100061,2026-04-01,April,2026,Q2,TabMax 12,Electronics,32999,5,20,32999.0,131996.0,45.9,60586.16,South India,Coimbatore,Online,Retail,0,CUST-8616
ORD-100062,2026-02-25,February,2026,Q1,Sofa 3-Seater,Furniture,24999,3,5,3749.85,71247.15,28.3,20162.94,North India,Jaipur,Online,New/Trial,0,CUST-7209
ORD-100063,2026-02-13,February,2026,Q1,Galaxy Pro X1,Electronics,24999,3,0,0.0,74997.0,29.3,21974.12,South India,Hyderabad,Online,SMB,0,CUST-5526
ORD-100064,2026-03-13,March,2026,Q1,Galaxy Pro X1,Electronics,24999,4,10,9999.6,89996.4,41.7,37528.5,South India,Chennai,Online,Retail,0,CUST-9041
ORD-100065,2026-02-27,February,2026,Q1,Galaxy Pro X1,Electronics,24999,5,0,0.0,124995.0,34.3,42873.29,North India,Noida,Online,SMB,0,CUST-7971
ORD-100066,2026-04-06,April,2026,Q2,Bookshelf 5-Tier,Furniture,3499,2,0,0.0,6998.0,40.8,2855.18,North India,Chandigarh,Online,Retail,0,CUST-9779
ORD-100067,2026-04-08,April,2026,Q2,Cotton Slim Fit Shirt,Apparel,1299,5,10,649.5,5845.5,29.4,1718.58,North India,Chandigarh,Online,Retail,0,CUST-4180
ORD-100068,2026-02-07,February,2026,Q1,Formal Trousers,Apparel,1899,3,0,0.0,5697.0,47.3,2694.68,South India,Hyderabad,Online,Retail,0,CUST-3068
ORD-100069,2026-03-23,March,2026,Q1,Office Chair,Furniture,8999,4,0,0.0,35996.0,26.8,9646.93,North India,Delhi,Offline,Retail,0,CUST-8827
ORD-100070,2026-01-15,January,2026,Q1,AirBuds Ultra,Electronics,5999,2,0,0.0,11998.0,43.1,5171.14,South India,Bengaluru,Offline,Retail,0,CUST-2395
ORD-100071,2026-02-01,February,2026,Q1,LapBook Air,Electronics,54999,2,20,21999.6,87998.4,35.6,31327.43,South India,Kochi,Offline,New/Trial,0,CUST-8253
ORD-100072,2026-02-08,February,2026,Q1,Sofa 3-Seater,Furniture,24999,1,20,4999.8,19999.2,27.4,5479.78,East India,Patna,Offline,SMB,0,CUST-2330
ORD-100073,2026-01-21,January,2026,Q1,Formal Trousers,Apparel,1899,5,5,474.75,9020.25,29.6,2669.99,North India,Delhi,Online,Retail,0,CUST-5632
ORD-100074,2026-03-31,March,2026,Q1,Sanitizer 500ml,FMCG,199,5,15,149.25,845.75,42.9,362.83,North India,Noida,Partner,New/Trial,0,CUST-2880
ORD-100075,2026-03-11,March,2026,Q1,Formal Trousers,Apparel,1899,2,20,759.6,3038.4,30.0,911.52,West India,Ahmedabad,Offline,SMB,0,CUST-5728
ORD-100076,2026-02-26,February,2026,Q1,LapBook Air,Electronics,54999,5,10,27499.5,247495.5,34.8,86128.43,South India,Hyderabad,Offline,New/Trial,0,CUST-1653
ORD-100077,2026-02-25,February,2026,Q1,Instant Noodles Pack,FMCG,120,5,10,60.0,540.0,46.7,252.18,West India,Mumbai,Online,New/Trial,1,CUST-5415
ORD-100078,2026-03-15,March,2026,Q1,SmartWatch S5,Electronics,12999,3,0,0.0,38997.0,47.9,18679.56,West India,Pune,Online,Retail,0,CUST-9056
ORD-100079,2026-01-12,January,2026,Q1,Office Chair,Furniture,8999,2,0,0.0,17998.0,32.7,5885.35,North India,Gurugram,Online,SMB,0,CUST-7561
ORD-100080,2026-04-08,April,2026,Q2,Bookshelf 5-Tier,Furniture,3499,4,20,2799.2,11196.8,35.4,3963.67,North India,Delhi,Online,Retail,1,CUST-9889
ORD-100081,2026-03-01,March,2026,Q1,Hair Oil 500ml,FMCG,249,4,20,199.2,796.8,23.3,185.65,North India,Lucknow,Online,New/Trial,0,CUST-3146
ORD-100082,2026-02-06,February,2026,Q1,Sanitizer 500ml,FMCG,199,5,20,199.0,796.0,28.2,224.47,West India,Surat,Online,New/Trial,0,CUST-1224
ORD-100083,2026-03-12,March,2026,Q1,Hair Oil 500ml,FMCG,249,1,15,37.35,211.65,43.6,92.28,North India,Jaipur,Partner,Retail,0,CUST-5781
ORD-100084,2026-03-07,March,2026,Q1,Winter Jacket,Apparel,4599,5,0,0.0,22995.0,32.0,7358.4,South India,Kochi,Partner,SMB,0,CUST-9327
ORD-100085,2026-04-06,April,2026,Q2,TabMax 12,Electronics,32999,3,20,19799.4,79197.6,35.2,27877.56,West India,Ahmedabad,Offline,New/Trial,0,CUST-5634
ORD-100086,2026-04-03,April,2026,Q2,Sports Backpack,Apparel,1599,2,5,159.9,3038.1,36.0,1093.72,West India,Nagpur,Partner,Retail,0,CUST-9903
ORD-100087,2026-02-18,February,2026,Q1,Sanitizer 500ml,FMCG,199,4,0,0.0,796.0,44.3,352.63,East India,Bhubaneswar,Partner,SMB,0,CUST-6213
ORD-100088,2026-04-06,April,2026,Q2,Office Chair,Furniture,8999,2,5,899.9,17098.1,47.1,8053.21,West India,Surat,Online,Retail,0,CUST-6439
ORD-100089,2026-01-13,January,2026,Q1,Sanitizer 500ml,FMCG,199,2,0,0.0,398.0,34.2,136.12,North India,Agra,Online,SMB,1,CUST-6546
ORD-100090,2026-03-21,March,2026,Q1,Face Wash 200ml,FMCG,299,4,0,0.0,1196.0,38.3,458.07,West India,Ahmedabad,Partner,New/Trial,0,CUST-8994
ORD-100091,2026-03-11,March,2026,Q1,SmartWatch S5,Electronics,12999,2,15,3899.7,22098.3,24.3,5369.89,West India,Pune,Offline,New/Trial,1,CUST-2646
ORD-100092,2026-02-26,February,2026,Q1,Cotton Slim Fit Shirt,Apparel,1299,3,0,0.0,3897.0,31.7,1235.35,West India,Mumbai,Online,New/Trial,0,CUST-9702
ORD-100093,2026-02-22,February,2026,Q1,Sofa 3-Seater,Furniture,24999,4,10,9999.6,89996.4,39.8,35818.57,West India,Pune,Online,SMB,0,CUST-3344
ORD-100094,2026-01-30,January,2026,Q1,Sanitizer 500ml,FMCG,199,4,0,0.0,796.0,39.6,315.22,West India,Surat,Online,Enterprise,0,CUST-8237
ORD-100095,2026-02-14,February,2026,Q1,Sofa 3-Seater,Furniture,24999,3,0,0.0,74997.0,48.0,35998.56,North India,Agra,Offline,Retail,0,CUST-2747
ORD-100096,2026-01-31,January,2026,Q1,Face Wash 200ml,FMCG,299,1,20,59.8,239.2,39.1,93.53,South India,Mysuru,Online,Retail,0,CUST-1803
ORD-100097,2026-03-19,March,2026,Q1,Office Chair,Furniture,8999,3,0,0.0,26997.0,38.6,10420.84,West India,Ahmedabad,Offline,SMB,0,CUST-3240
ORD-100098,2026-03-22,March,2026,Q1,LapBook Air,Electronics,54999,5,0,0.0,274995.0,41.0,112747.95,East India,Kolkata,Online,Retail,0,CUST-5835
ORD-100099,2026-02-11,February,2026,Q1,Hair Oil 500ml,FMCG,249,3,10,74.7,672.3,35.0,235.31,North India,Noida,Offline,New/Trial,0,CUST-3695
ORD-100100,2026-02-02,February,2026,Q1,Office Chair,Furniture,8999,1,5,449.95,8549.05,47.0,4018.05,East India,Patna,Offline,Retail,0,CUST-4696
ORD-100101,2026-03-28,March,2026,Q1,Face Wash 200ml,FMCG,299,1,0,0.0,299.0,36.0,107.64,East India,Ranchi,Online,New/Trial,0,CUST-5295
ORD-100102,2026-03-16,March,2026,Q1,Face Wash 200ml,FMCG,299,1,10,29.9,269.1,45.0,121.1,West India,Ahmedabad,Online,SMB,0,CUST-4626
ORD-100103,2026-03-24,March,2026,Q1,AirBuds Ultra,Electronics,5999,4,0,0.0,23996.0,25.6,6142.98,West India,Surat,Partner,Retail,0,CUST-5986
ORD-100104,2026-03-05,March,2026,Q1,LapBook Air,Electronics,54999,5,5,13749.75,261245.25,37.3,97444.48,North India,Lucknow,Online,Retail,0,CUST-7797
ORD-100105,2026-03-25,March,2026,Q1,LapBook Air,Electronics,54999,1,15,8249.85,46749.15,31.6,14772.73,West India,Nagpur,Online,New/Trial,0,CUST-4868
ORD-100106,2026-02-16,February,2026,Q1,LapBook Air,Electronics,54999,3,0,0.0,164997.0,32.4,53459.03,East India,Patna,Online,New/Trial,0,CUST-3001
ORD-100107,2026-02-28,February,2026,Q1,AirBuds Ultra,Electronics,5999,1,20,1199.8,4799.2,30.7,1473.35,West India,Nashik,Offline,New/Trial,1,CUST-4362
ORD-100108,2026-01-09,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,20,1399.6,5598.4,45.4,2541.67,North India,Noida,Offline,SMB,0,CUST-3370
ORD-100109,2026-01-17,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,0,0.0,6998.0,31.3,2190.37,North India,Noida,Online,New/Trial,0,CUST-6304
ORD-100110,2026-01-03,January,2026,Q1,Cotton Slim Fit Shirt,Apparel,1299,1,5,64.95,1234.05,33.7,415.87,North India,Noida,Offline,Retail,0,CUST-2786
ORD-100111,2026-02-27,February,2026,Q1,Study Table,Furniture,5999,5,0,0.0,29995.0,33.9,10168.31,North India,Lucknow,Online,New/Trial,1,CUST-1996
ORD-100112,2026-03-03,March,2026,Q1,Face Wash 200ml,FMCG,299,1,0,0.0,299.0,30.4,90.9,South India,Bengaluru,Online,New/Trial,0,CUST-3067
ORD-100113,2026-02-05,February,2026,Q1,Wardrobe 4-Door,Furniture,18999,5,10,9499.5,85495.5,29.7,25392.16,West India,Nagpur,Offline,Retail,0,CUST-8048
ORD-100114,2026-01-13,January,2026,Q1,LapBook Air,Electronics,54999,2,5,5499.9,104498.1,33.7,35215.86,West India,Nashik,Partner,Retail,0,CUST-6553
ORD-100115,2026-02-28,February,2026,Q1,Face Wash 200ml,FMCG,299,3,0,0.0,897.0,46.8,419.8,South India,Bengaluru,Online,Retail,0,CUST-8770
ORD-100116,2026-01-09,January,2026,Q1,AirBuds Ultra,Electronics,5999,3,20,3599.4,14397.6,25.4,3656.99,West India,Mumbai,Online,Retail,0,CUST-6400
ORD-100117,2026-03-27,March,2026,Q1,LapBook Air,Electronics,54999,1,0,0.0,54999.0,37.6,20679.62,South India,Coimbatore,Partner,Retail,0,CUST-9313
ORD-100118,2026-01-28,January,2026,Q1,TabMax 12,Electronics,32999,5,0,0.0,164995.0,25.0,41248.75,West India,Pune,Offline,Retail,0,CUST-4705
ORD-100119,2026-02-24,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,1,10,349.9,3149.1,46.2,1454.88,East India,Ranchi,Offline,Retail,0,CUST-5381
ORD-100120,2026-01-04,January,2026,Q1,Cotton Slim Fit Shirt,Apparel,1299,1,0,0.0,1299.0,44.6,579.35,North India,Jaipur,Online,Retail,0,CUST-7566
ORD-100121,2026-01-09,January,2026,Q1,TabMax 12,Electronics,32999,4,5,6599.8,125396.2,33.8,42383.92,West India,Mumbai,Online,Retail,0,CUST-6105
ORD-100122,2026-04-03,April,2026,Q2,Instant Noodles Pack,FMCG,120,2,0,0.0,240.0,41.6,99.84,West India,Nagpur,Offline,New/Trial,0,CUST-2336
ORD-100123,2026-02-04,February,2026,Q1,Sanitizer 500ml,FMCG,199,2,20,79.6,318.4,35.3,112.4,West India,Surat,Offline,Retail,0,CUST-2816
ORD-100124,2026-02-06,February,2026,Q1,Sofa 3-Seater,Furniture,24999,5,0,0.0,124995.0,22.2,27748.89,South India,Coimbatore,Online,SMB,0,CUST-4460
ORD-100125,2026-04-09,April,2026,Q2,TabMax 12,Electronics,32999,4,0,0.0,131996.0,25.4,33526.98,West India,Ahmedabad,Online,Enterprise,0,CUST-4770
ORD-100126,2026-03-06,March,2026,Q1,Bookshelf 5-Tier,Furniture,3499,1,5,174.95,3324.05,22.5,747.91,West India,Ahmedabad,Online,New/Trial,0,CUST-6129
ORD-100127,2026-03-15,March,2026,Q1,Hair Oil 500ml,FMCG,249,4,0,0.0,996.0,47.1,469.12,South India,Coimbatore,Offline,Retail,0,CUST-8538
ORD-100128,2026-03-30,March,2026,Q1,Protein Powder 1kg,FMCG,1899,4,10,759.6,6836.4,24.0,1640.74,North India,Jaipur,Online,Retail,0,CUST-6562
ORD-100129,2026-01-29,January,2026,Q1,Instant Noodles Pack,FMCG,120,5,0,0.0,600.0,45.6,273.6,West India,Mumbai,Online,SMB,0,CUST-3419
ORD-100130,2026-01-31,January,2026,Q1,LapBook Air,Electronics,54999,1,0,0.0,54999.0,46.7,25684.53,North India,Noida,Online,SMB,0,CUST-8601
ORD-100131,2026-04-07,April,2026,Q2,Sofa 3-Seater,Furniture,24999,5,0,0.0,124995.0,44.5,55622.78,West India,Surat,Offline,New/Trial,0,CUST-3473
ORD-100132,2026-02-26,February,2026,Q1,AirBuds Ultra,Electronics,5999,1,0,0.0,5999.0,35.2,2111.65,South India,Coimbatore,Online,Retail,0,CUST-8404
ORD-100133,2026-01-05,January,2026,Q1,SmartWatch S5,Electronics,12999,1,10,1299.9,11699.1,37.4,4375.46,South India,Hyderabad,Online,New/Trial,0,CUST-1672
ORD-100134,2026-02-27,February,2026,Q1,Sofa 3-Seater,Furniture,24999,1,5,1249.95,23749.05,24.7,5866.02,West India,Ahmedabad,Offline,Retail,0,CUST-6626
ORD-100135,2026-04-02,April,2026,Q2,AirBuds Ultra,Electronics,5999,4,10,2399.6,21596.4,35.6,7688.32,South India,Chennai,Online,Retail,0,CUST-7108
ORD-100136,2026-02-06,February,2026,Q1,Face Wash 200ml,FMCG,299,3,0,0.0,897.0,30.6,274.48,South India,Hyderabad,Offline,SMB,0,CUST-7333
ORD-100137,2026-02-06,February,2026,Q1,Winter Jacket,Apparel,4599,2,0,0.0,9198.0,24.1,2216.72,West India,Nashik,Partner,Retail,0,CUST-6731
ORD-100138,2026-02-09,February,2026,Q1,Face Wash 200ml,FMCG,299,4,15,179.4,1016.6,42.6,433.07,North India,Chandigarh,Partner,Retail,0,CUST-9624
ORD-100139,2026-01-12,January,2026,Q1,Hair Oil 500ml,FMCG,249,2,0,0.0,498.0,46.6,232.07,South India,Bengaluru,Online,SMB,0,CUST-4711
ORD-100140,2026-01-18,January,2026,Q1,TabMax 12,Electronics,32999,5,20,32999.0,131996.0,41.2,54382.35,North India,Jaipur,Offline,Retail,0,CUST-6517
ORD-100141,2026-04-09,April,2026,Q2,Wardrobe 4-Door,Furniture,18999,5,20,18999.0,75996.0,45.5,34578.18,North India,Agra,Online,SMB,0,CUST-1715
ORD-100142,2026-02-22,February,2026,Q1,Protein Powder 1kg,FMCG,1899,4,0,0.0,7596.0,35.9,2726.96,West India,Pune,Partner,Retail,0,CUST-8684
ORD-100143,2026-01-25,January,2026,Q1,Protein Powder 1kg,FMCG,1899,3,20,1139.4,4557.6,31.9,1453.87,West India,Nagpur,Partner,Retail,0,CUST-3655
ORD-100144,2026-01-26,January,2026,Q1,Wardrobe 4-Door,Furniture,18999,3,10,5699.7,51297.3,46.3,23750.65,North India,Gurugram,Online,Retail,0,CUST-9452
ORD-100145,2026-01-16,January,2026,Q1,Sports Backpack,Apparel,1599,2,20,639.6,2558.4,33.4,854.51,North India,Noida,Online,New/Trial,0,CUST-4637
ORD-100146,2026-02-27,February,2026,Q1,Protein Powder 1kg,FMCG,1899,2,5,189.9,3608.1,47.9,1728.28,East India,Guwahati,Online,Retail,0,CUST-1461
ORD-100147,2026-02-10,February,2026,Q1,LapBook Air,Electronics,54999,1,0,0.0,54999.0,45.9,25244.54,West India,Nashik,Online,SMB,0,CUST-3273
ORD-100148,2026-04-08,April,2026,Q2,Office Chair,Furniture,8999,2,20,3599.6,14398.4,25.9,3729.19,South India,Bengaluru,Partner,Enterprise,0,CUST-9647
ORD-100149,2026-02-24,February,2026,Q1,LapBook Air,Electronics,54999,4,15,32999.4,186996.6,42.6,79660.55,West India,Pune,Online,Enterprise,0,CUST-2816
ORD-100150,2026-03-05,March,2026,Q1,Wardrobe 4-Door,Furniture,18999,2,0,0.0,37998.0,33.2,12615.34,South India,Coimbatore,Online,SMB,0,CUST-4941
ORD-100151,2026-03-15,March,2026,Q1,Hair Oil 500ml,FMCG,249,1,10,24.9,224.1,36.1,80.9,North India,Chandigarh,Online,New/Trial,0,CUST-9316
ORD-100152,2026-03-12,March,2026,Q1,Galaxy Pro X1,Electronics,24999,3,0,0.0,74997.0,41.4,31048.76,South India,Kochi,Online,Retail,0,CUST-2106
ORD-100153,2026-02-14,February,2026,Q1,Formal Trousers,Apparel,1899,3,0,0.0,5697.0,23.2,1321.7,West India,Nashik,Online,Retail,0,CUST-3868
ORD-100154,2026-04-10,April,2026,Q2,Sanitizer 500ml,FMCG,199,1,15,29.85,169.15,42.2,71.38,East India,Guwahati,Offline,New/Trial,0,CUST-5807
ORD-100155,2026-01-26,January,2026,Q1,SmartWatch S5,Electronics,12999,4,20,10399.2,41596.8,36.1,15016.44,West India,Mumbai,Online,Retail,0,CUST-4131
